レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品数,購入商品
R0853,中央区,女性,60代以上,金,2024/04/19,08:00,朝,830,3,サンドイッチ おにぎり 卵
R0854,西区,女性,20代,火,2024/02/13,14:16,昼,590,2,サンドイッチ おにぎり
R0855,西区,男性,50代,水,2024/09/04,20:42,夜,1060,4,炭酸飲料 キャンディ 肉まん チョコレート
R0856,中央区,男性,60代以上,水,2024/06/12,21:33,夜,890,3,ジュース キャンディ ガム
R0857,中央区,女性,50代,土,2024/02/03,06:04,朝,480,2,牛乳 アイス
R0858,中央区,女性,40代,日,2024/01/28,21:23,夜,1080,5,ポテトチップス 牛乳 おにぎり 炭酸飲料 肉まん
R0859,北区,男性,30代,金,2024/06/14,07:37,朝,300,1,歯ブラシ
R0860,中央区,男性,40代,水,2024/07/24,12:12,昼,290,1,サラダ
R0861,西区,男性,20代,土,2024/10/05,12:19,昼,1020,4,キャンディ 炭酸飲料 ジュース 肉まん
R0862,中央区,男性,40代,土,2024/01/27,14:45,昼,530,2,サラダ 卵
R0863,西区,女性,30代,水,2024/02/21,08:26,朝,150,1,アイス
R0864,西区,女性,60代以上,金,2024/03/22,13:05,昼,480,3,ジュース おにぎり コーヒー
R0865,中央区,女性,10代,日,2024/01/07,19:42,夜,1130,4,卵 アイス ティッシュ キャンディ
R0866,西区,男性,50代,土,2024/03/02,13:52,昼,770,3,ポテトチップス キャンディ 炭酸飲料
R0867,北区,女性,60代以上,水,2024/02/21,11:01,昼,800,3,弁当 コーヒー お茶
R0868,西区,女性,20代,金,2024/11/15,19:20,夜,690,3,ガム ポテトチップス チョコレート
R0869,西区,男性,50代,土,2024/03/30,09:36,朝,900,3,ティッシュ トイレットペーパー 野菜ジュース
R0870,北区,女性,50代,土,2024/06/08,11:41,昼,1770,6,牛乳 フルーツ トイレットペーパー 歯ブラシ 洗剤 ティッシュ
R0871,中央区,男性,30代,金,2024/03/08,06:22,朝,500,2,牛乳 コーヒー
R0872,北区,女性,20代,日,2024/01/28,08:43,朝,330,1,牛乳
R0873,北区,男性,40代,金,2024/04/26,07:57,朝,330,1,牛乳
R0874,西区,女性,30代,木,2024/06/06,07:45,朝,480,2,肉まん サラダ
R0875,東区,男性,10代,金,2024/06/14,06:54,朝,180,1,カップ麺
R0876,北区,女性,40代,木,2024/10/24,20:36,夜,1170,4,歯ブラシ ティッシュ 牛乳 洗剤
R0877,東区,男性,60代以上,土,2024/11/09,12:11,昼,750,4,アイス 肉まん サラダ お茶
R0878,西区,女性,20代,木,2024/08/29,18:38,夜,260,2,ポテトチップス アイス
R0879,東区,男性,50代,土,2024/11/30,08:08,朝,780,3,野菜ジュース フルーツ 牛乳
R0880,東区,男性,60代以上,日,2024/12/08,19:21,夜,1080,5,ポテトチップス 肉まん 冷凍食品 アイス トイレットペーパー
R0881,西区,男性,10代,水,2024/09/18,13:19,昼,290,2,アイス おにぎり
R0882,東区,男性,30代,木,2024/11/07,20:06,夜,810,2,弁当 冷凍食品
R0883,北区,女性,30代,水,2024/06/26,11:46,昼,1120,4,ティッシュ ジュース キャンディ チョコレート
R0884,中央区,男性,30代,火,2024/12/24,11:02,昼,290,1,サラダ
R0885,北区,女性,40代,土,2024/01/13,17:22,夜,1350,4,ティッシュ 牛乳 トイレットペーパー 歯ブラシ
R0886,北区,女性,10代,木,2024/10/10,14:33,昼,350,1,キャンディ
R0887,西区,女性,60代以上,火,2024/06/04,12:22,昼,790,3,ポテトチップス ジュース 弁当
R0888,中央区,女性,40代,土,2024/02/17,08:17,朝,630,3,炭酸飲料 チョコレート ポテトチップス
R0889,中央区,女性,40代,土,2024/10/19,19:40,夜,660,3,冷凍食品 アイス チョコレート
R0890,中央区,男性,20代,金,2024/12/06,10:19,朝,520,2,牛乳 ヨーグルト
R0891,東区,女性,30代,月,2024/04/22,13:00,昼,760,3,卵 チョコレート 炭酸飲料
R0892,東区,男性,20代,火,2024/11/19,13:42,昼,260,2,お茶 おにぎり
R0893,中央区,女性,60代以上,水,2024/11/27,18:57,夜,550,3,栄養ドリンク ヨーグルト 野菜ジュース
R0894,中央区,女性,40代,月,2024/09/30,11:40,昼,320,2,栄養ドリンク おにぎり
R0895,西区,男性,20代,月,2024/03/11,08:50,朝,310,1,炭酸飲料
R0896,北区,男性,20代,月,2024/11/04,11:06,昼,980,4,サラダ フルーツ 栄養ドリンク 卵
R0897,東区,男性,20代,土,2024/07/06,18:56,夜,940,5,肉まん ジュース 冷凍食品 缶コーヒー カップ麺
R0898,西区,女性,10代,火,2024/03/19,20:10,夜,110,1,ポテトチップス
R0899,中央区,男性,30代,金,2024/03/22,11:06,昼,320,2,カップ麺 おにぎり
R0900,東区,男性,20代,木,2024/09/12,11:37,昼,120,1,お茶
R0901,北区,女性,30代,日,2024/04/21,09:12,朝,260,2,おにぎり お茶
R0902,北区,女性,40代,水,2024/10/30,11:25,昼,1250,4,ティッシュ サラダ 卵 牛乳
R0903,西区,女性,40代,金,2024/04/19,14:01,昼,880,4,チョコレート ジュース アイス キャンディ
R0904,北区,男性,40代,火,2024/07/09,13:57,昼,170,1,コーヒー
R0905,北区,男性,60代以上,金,2024/09/13,09:52,朝,720,3,野菜ジュース パン 牛乳
R0906,東区,男性,40代,金,2024/04/26,14:39,昼,600,3,コーヒー サラダ おにぎり
R0907,中央区,男性,20代,木,2024/05/02,09:23,朝,210,1,パン
R0908,東区,男性,10代,木,2024/10/17,21:06,夜,520,2,チョコレート 炭酸飲料
R0909,西区,女性,20代,日,2024/06/23,09:01,朝,520,3,チョコレート ジュース おにぎり
R0910,北区,男性,50代,火,2024/11/26,14:26,昼,1020,4,トイレットペーパー 洗剤 歯ブラシ 卵
R0911,西区,女性,20代,水,2024/07/31,13:23,昼,510,1,弁当
R0912,北区,男性,10代,金,2024/04/19,14:33,昼,180,1,栄養ドリンク
R0913,東区,女性,40代,水,2024/04/17,13:14,昼,700,5,ポテトチップス カップ麺 お茶 缶コーヒー 肉まん
R0914,西区,女性,30代,日,2024/04/07,12:14,昼,1250,3,サラダ 弁当 サンドイッチ
R0915,東区,男性,30代,土,2024/11/16,08:46,朝,430,2,牛乳 缶コーヒー
R0916,東区,男性,60代以上,金,2024/07/26,18:24,夜,700,3,チョコレート 肉まん 冷凍食品
R0917,西区,男性,20代,月,2024/01/29,12:29,昼,560,2,チョコレート キャンディ
R0918,西区,男性,60代以上,月,2024/11/18,21:35,夜,680,3,炭酸飲料 肉まん カップ麺
R0919,中央区,男性,10代,月,2024/07/08,21:54,夜,500,3,おにぎり 肉まん コーヒー
R0920,西区,男性,10代,金,2024/09/27,20:03,夜,1040,4,炭酸飲料 ジュース ガム 肉まん
R0921,西区,女性,30代,日,2024/01/14,14:19,昼,320,2,ポテトチップス チョコレート
R0922,中央区,男性,20代,月,2024/06/24,20:04,夜,290,1,サラダ
R0923,中央区,男性,10代,日,2024/12/08,14:28,昼,140,1,おにぎり
R0924,中央区,男性,60代以上,水,2024/08/14,21:45,夜,680,2,ジュース 弁当
R0925,東区,男性,40代,火,2024/09/10,11:36,昼,1170,4,栄養ドリンク サラダ 弁当 ヨーグルト
R0926,北区,男性,40代,水,2024/01/10,19:34,夜,760,3,冷凍食品 炭酸飲料 アイス
R0927,西区,男性,20代,月,2024/08/12,18:57,夜,680,2,ガム 炭酸飲料
R0928,中央区,男性,30代,金,2024/06/28,17:00,夜,410,2,お茶 サラダ
R0929,北区,男性,60代以上,日,2024/09/15,12:40,昼,710,3,野菜ジュース サラダ 卵
R0930,西区,女性,10代,水,2024/09/04,14:20,昼,620,2,ポテトチップス 弁当
R0931,東区,女性,10代,木,2024/03/21,14:38,昼,170,1,コーヒー
R0932,北区,男性,10代,水,2024/01/31,21:11,夜,410,2,歯ブラシ ポテトチップス
R0933,西区,男性,10代,金,2024/01/19,13:52,昼,870,3,キャンディ 炭酸飲料 チョコレート
R0934,北区,男性,40代,日,2024/09/01,09:57,朝,480,2,ヨーグルト サラダ
R0935,北区,男性,60代以上,土,2024/04/13,08:23,朝,760,4,ヨーグルト 栄養ドリンク お茶 フルーツ
R0936,中央区,女性,10代,月,2024/10/14,21:28,夜,650,2,おにぎり 弁当
R0937,東区,女性,50代,日,2024/03/17,19:58,夜,960,3,お茶 弁当 トイレットペーパー
R0938,中央区,女性,60代以上,土,2024/10/19,13:53,昼,120,1,お茶
R0939,西区,男性,50代,日,2024/06/30,13:11,昼,660,4,アイス 缶コーヒー 冷凍食品 ポテトチップス
R0940,北区,女性,10代,月,2024/04/22,06:24,朝,830,3,ティッシュ シャンプー 牛乳
R0941,北区,女性,40代,木,2024/06/27,21:19,夜,1290,4,歯ブラシ フルーツ ティッシュ トイレットペーパー
R0942,東区,女性,20代,土,2024/07/13,11:06,昼,650,2,弁当 おにぎり
R0943,東区,男性,10代,金,2024/05/03,17:02,夜,480,3,肉まん ポテトチップス カップ麺
R0944,北区,男性,10代,水,2024/07/17,17:13,夜,790,3,キャンディ 牛乳 ポテトチップス
R0945,北区,男性,10代,土,2024/05/18,13:00,昼,310,2,ジュース おにぎり
R0946,中央区,男性,50代,木,2024/04/11,19:13,夜,480,2,ジュース 炭酸飲料
R0947,西区,男性,10代,日,2024/05/19,19:20,夜,670,3,キャンディ ポテトチップス チョコレート
R0948,北区,男性,50代,金,2024/01/26,11:34,昼,830,3,弁当 おにぎり カップ麺
R0949,北区,女性,30代,木,2024/08/08,22:28,夜,1180,5,トイレットペーパー チョコレート ティッシュ 缶コーヒー 洗剤
R0950,東区,女性,40代,月,2024/06/24,13:19,昼,590,2,おにぎり サンドイッチ
R0951,中央区,女性,10代,土,2024/05/04,19:37,夜,690,3,冷凍食品 カップ麺 チョコレート
R0952,北区,女性,40代,木,2024/04/25,14:03,昼,1050,4,サンドイッチ お茶 カップ麺 歯ブラシ
R0953,中央区,女性,20代,金,2024/10/18,12:34,昼,590,3,サラダ 栄養ドリンク お茶
R0954,中央区,女性,60代以上,月,2024/03/04,13:20,昼,740,3,サンドイッチ お茶 コーヒー
R0955,北区,男性,30代,金,2024/12/06,11:56,昼,600,2,アイス サンドイッチ
R0956,東区,女性,10代,土,2024/06/22,13:01,昼,910,4,炭酸飲料 肉まん 冷凍食品 ポテトチップス
R0957,東区,男性,30代,日,2024/07/07,13:33,昼,580,3,コーヒー ポテトチップス 歯ブラシ
R0958,中央区,男性,30代,土,2024/04/27,13:36,昼,630,3,栄養ドリンク 洗剤 歯ブラシ
R0959,北区,女性,50代,土,2024/06/08,11:44,昼,1260,5,洗剤 歯ブラシ 牛乳 シャンプー ガム
R0960,中央区,男性,50代,金,2024/06/28,08:16,朝,660,3,牛乳 おにぎり ヨーグルト
R0961,北区,男性,60代以上,火,2024/01/02,12:53,昼,660,3,野菜ジュース ヨーグルト サラダ
R0962,東区,女性,30代,木,2024/10/24,14:22,昼,290,2,おにぎり アイス
R0963,中央区,女性,50代,火,2024/11/12,11:44,昼,450,1,サンドイッチ
R0964,東区,女性,60代以上,火,2024/07/23,07:15,朝,190,1,肉まん
R0965,東区,女性,60代以上,木,2024/06/13,09:54,朝,380,2,コーヒー パン
R0966,中央区,女性,20代,日,2024/04/28,12:35,昼,500,3,アイス ジュース 野菜ジュース
R0967,西区,女性,30代,金,2024/05/17,18:05,夜,300,1,冷凍食品
R0968,北区,男性,20代,日,2024/09/15,20:33,夜,1030,4,牛乳 チョコレート カップ麺 炭酸飲料
R0969,北区,男性,50代,日,2024/07/07,11:20,昼,720,4,ポテトチップス 缶コーヒー チョコレート 冷凍食品
R0970,東区,男性,60代以上,月,2024/03/11,08:51,朝,360,2,ジュース 肉まん
R0971,東区,女性,30代,水,2024/12/11,14:49,昼,840,2,ティッシュ サンドイッチ
R0972,中央区,女性,50代,火,2024/10/29,06:07,朝,310,2,お茶 肉まん
R0973,北区,男性,30代,金,2024/01/12,13:39,昼,270,1,フルーツ
R0974,北区,女性,10代,土,2024/12/14,18:25,夜,1260,4,卵 牛乳 歯ブラシ ティッシュ
R0975,東区,男性,40代,金,2024/04/26,12:46,昼,830,4,缶コーヒー 炭酸飲料 お茶 冷凍食品
R0976,西区,男性,60代以上,日,2024/12/01,18:49,夜,1160,5,ジュース シャンプー 歯ブラシ ヨーグルト ティッシュ
R0977,北区,女性,20代,土,2024/11/23,14:19,昼,1100,3,おにぎり 弁当 サンドイッチ
R0978,北区,男性,50代,金,2024/11/29,22:21,夜,870,3,洗剤 ティッシュ 牛乳
R0979,東区,男性,30代,土,2024/09/07,11:31,昼,730,3,ティッシュ コーヒー ジュース
R0980,東区,女性,50代,土,2024/04/13,22:21,夜,680,2,コーヒー 弁当
R0981,北区,男性,20代,水,2024/04/10,06:36,朝,330,1,牛乳
R0982,中央区,男性,60代以上,水,2024/11/06,18:14,夜,250,2,おにぎり ポテトチップス
R0983,中央区,男性,10代,金,2024/02/23,10:17,朝,140,1,おにぎり
R0984,北区,男性,60代以上,水,2024/03/13,11:17,昼,960,3,トイレットペーパー 牛乳 歯ブラシ
R0985,北区,女性,50代,木,2024/02/22,18:49,夜,570,3,アイス 炭酸飲料 ポテトチップス
R0986,中央区,女性,40代,水,2024/04/03,08:29,朝,450,1,サンドイッチ
R0987,西区,女性,50代,火,2024/03/26,14:59,昼,720,3,ヨーグルト サラダ 卵
R0988,西区,男性,20代,木,2024/11/07,13:09,昼,670,3,チョコレート キャンディ ポテトチップス
R0989,中央区,女性,40代,木,2024/02/15,13:24,昼,810,3,肉まん サンドイッチ ジュース
R0990,西区,女性,40代,日,2024/06/23,13:40,昼,570,3,炭酸飲料 アイス ポテトチップス
R0991,中央区,女性,40代,月,2024/09/23,19:31,夜,930,3,サラダ 肉まん サンドイッチ
R0992,東区,女性,60代以上,日,2024/10/27,06:48,朝,740,3,お茶 牛乳 サラダ
R0993,西区,女性,20代,土,2024/06/29,14:05,昼,430,3,アイス ポテトチップス ジュース
R0994,西区,男性,60代以上,日,2024/06/23,21:01,夜,700,3,チョコレート 肉まん 冷凍食品
R0995,西区,女性,60代以上,火,2024/04/30,21:25,夜,870,3,キャンディ 炭酸飲料 チョコレート
R0996,北区,女性,60代以上,土,2024/12/14,17:50,夜,750,2,サンドイッチ 歯ブラシ
R0997,西区,女性,30代,火,2024/11/12,17:41,夜,450,2,卵 チョコレート
R0998,北区,女性,60代以上,土,2024/10/12,14:51,昼,770,3,チョコレート ティッシュ ジュース
R0999,中央区,男性,10代,水,2024/08/21,14:01,昼,630,2,弁当 お茶
R1000,中央区,女性,60代以上,月,2024/06/10,11:57,昼,190,1,肉まん
R1001,西区,女性,60代以上,金,2024/09/06,08:29,朝,530,3,パン おにぎり 野菜ジュース
R1002,北区,女性,60代以上,日,2024/06/23,19:41,夜,840,3,パン 卵 ティッシュ
R1003,東区,男性,40代,火,2024/12/03,13:30,昼,680,2,弁当 コーヒー
R1004,北区,男性,30代,月,2024/05/13,11:34,昼,120,1,お茶
R1005,西区,女性,60代以上,月,2024/11/25,10:13,朝,140,1,おにぎり
R1006,中央区,男性,40代,日,2024/02/25,09:28,朝,380,2,卵 おにぎり
R1007,北区,女性,20代,金,2024/07/05,17:21,夜,370,2,ヨーグルト 野菜ジュース
R1008,東区,男性,10代,木,2024/06/20,20:01,夜,670,3,サラダ チョコレート コーヒー
R1009,東区,女性,40代,木,2024/07/25,21:06,夜,810,3,アイス チョコレート サンドイッチ
R1010,北区,女性,20代,木,2024/06/13,20:49,夜,740,3,トイレットペーパー 卵 ジュース
R1011,東区,女性,10代,日,2024/02/18,11:51,昼,840,3,肉まん 弁当 おにぎり
R1012,西区,男性,30代,金,2024/08/23,18:13,夜,520,2,アイス ガム
R1013,西区,男性,20代,水,2024/12/04,13:24,昼,170,1,ジュース
R1014,北区,男性,10代,水,2024/06/12,14:20,昼,110,1,シャンプー
R1015,中央区,女性,30代,日,2024/02/11,11:41,昼,850,4,アイス 炭酸飲料 野菜ジュース チョコレート
R1016,西区,男性,10代,火,2024/01/16,11:55,昼,300,2,肉まん ポテトチップス
R1017,中央区,女性,30代,月,2024/08/12,21:44,夜,460,2,ジュース サラダ
R1018,東区,女性,60代以上,木,2024/12/26,21:17,夜,500,2,炭酸飲料 肉まん
R1019,西区,男性,10代,月,2024/10/07,20:09,夜,450,2,アイス 冷凍食品
R1020,東区,女性,10代,火,2024/05/14,14:27,昼,890,3,チョコレート 炭酸飲料 ガム
R1021,東区,女性,10代,金,2024/06/28,18:48,夜,210,1,チョコレート
R1022,西区,男性,20代,水,2024/12/25,06:08,朝,540,3,パン ヨーグルト おにぎり
R1023,東区,男性,40代,火,2024/11/05,09:40,朝,800,2,弁当 サラダ
R1024,中央区,男性,60代以上,土,2024/07/06,08:12,朝,1510,6,卵 おにぎり サンドイッチ ジュース 牛乳 野菜ジュース
R1025,中央区,男性,40代,金,2024/11/15,09:53,朝,450,2,牛乳 お茶
R1026,中央区,女性,10代,月,2024/10/21,07:03,朝,330,1,牛乳
R1027,東区,男性,20代,日,2024/01/07,20:04,夜,260,2,アイス ポテトチップス
R1028,中央区,女性,20代,日,2024/05/12,22:14,夜,900,4,卵 カップ麺 洗剤 牛乳
R1029,西区,女性,30代,土,2024/09/14,12:24,昼,600,3,サラダ 肉まん お茶
R1030,中央区,女性,30代,火,2024/10/08,13:31,昼,650,2,おにぎり 弁当
R1031,北区,男性,30代,火,2024/12/03,12:01,昼,660,3,サラダ ヨーグルト 野菜ジュース
R1032,西区,男性,10代,金,2024/12/20,09:35,朝,210,1,パン
R1033,東区,女性,10代,日,2024/08/11,14:52,昼,600,3,コーヒー サラダ おにぎり
R1034,北区,女性,30代,水,2024/03/20,18:29,夜,980,4,洗剤 ティッシュ シャンプー トイレットペーパー
R1035,中央区,男性,10代,水,2024/07/24,13:09,昼,450,1,サンドイッチ
R1036,西区,男性,10代,土,2024/08/10,13:25,昼,810,3,アイス キャンディ 炭酸飲料
R1037,東区,男性,30代,木,2024/07/04,13:15,昼,490,3,おにぎり カップ麺 ジュース
R1038,西区,女性,60代以上,木,2024/05/02,14:10,昼,430,2,卵 ヨーグルト
R1039,中央区,女性,40代,月,2024/03/04,09:13,朝,700,3,卵 ヨーグルト フルーツ
R1040,中央区,女性,20代,金,2024/11/08,22:04,夜,340,2,アイス 肉まん
R1041,中央区,男性,40代,日,2024/02/11,18:17,夜,1590,5,ティッシュ 卵 トイレットペーパー 牛乳 歯ブラシ
R1042,中央区,女性,30代,火,2024/09/24,13:06,昼,180,1,カップ麺
R1043,東区,女性,40代,土,2024/06/29,17:51,夜,360,3,缶コーヒー アイス ポテトチップス
R1044,西区,女性,10代,木,2024/02/08,17:42,夜,480,3,ジュース チョコレート 缶コーヒー
R1045,中央区,女性,40代,日,2024/12/29,14:24,昼,820,4,サラダ おにぎり 栄養ドリンク パン
R1046,西区,女性,30代,日,2024/07/07,20:08,夜,370,1,ガム
R1047,東区,男性,30代,金,2024/05/17,11:55,昼,640,3,お茶 肉まん 牛乳
R1048,北区,女性,60代以上,水,2024/03/20,08:00,朝,600,3,卵 ジュース ヨーグルト
R1049,東区,女性,30代,木,2024/08/15,13:19,昼,580,3,缶コーヒー ヨーグルト サラダ
R1050,中央区,女性,40代,日,2024/08/04,14:33,昼,1170,5,サラダ フルーツ 栄養ドリンク ヨーグルト 卵
R1051,中央区,男性,50代,土,2024/01/20,07:44,朝,640,3,栄養ドリンク ヨーグルト フルーツ
R1052,中央区,男性,50代,日,2024/07/21,07:42,朝,660,3,ヨーグルト 野菜ジュース サラダ
R1053,西区,女性,10代,月,2024/07/08,14:57,昼,690,3,炭酸飲料 ジュース チョコレート
R1054,西区,女性,10代,日,2024/09/22,11:34,昼,480,2,ポテトチップス ガム
R1055,中央区,女性,40代,土,2024/06/22,18:31,夜,540,2,肉まん キャンディ
R1056,北区,女性,30代,水,2024/10/02,10:30,朝,930,3,ティッシュ 歯ブラシ 卵
R1057,北区,女性,10代,木,2024/11/28,10:06,朝,270,1,フルーツ
R1058,東区,男性,30代,水,2024/07/17,12:11,昼,450,1,サンドイッチ
R1059,東区,男性,10代,水,2024/06/19,22:19,夜,300,1,冷凍食品
R1060,西区,女性,20代,水,2024/04/24,08:54,朝,850,3,炭酸飲料 ヨーグルト キャンディ
R1061,東区,男性,30代,日,2024/02/18,12:10,昼,650,2,弁当 おにぎり
R1062,西区,女性,20代,土,2024/01/27,21:40,夜,110,1,ポテトチップス
R1063,中央区,女性,20代,木,2024/05/23,06:35,朝,450,1,サンドイッチ
R1064,北区,女性,10代,日,2024/10/06,17:01,夜,1350,4,トイレットペーパー ティッシュ 歯ブラシ 牛乳
R1065,北区,男性,20代,金,2024/10/04,12:39,昼,700,3,フルーツ ヨーグルト 卵
R1066,東区,女性,10代,土,2024/02/10,22:20,夜,620,4,ポテトチップス シャンプー 冷凍食品 缶コーヒー
R1067,中央区,男性,10代,木,2024/06/13,21:07,夜,170,1,ジュース
R1068,中央区,男性,30代,月,2024/09/30,13:51,昼,1280,4,おにぎり 弁当 カップ麺 サンドイッチ
R1069,東区,女性,20代,木,2024/04/25,11:47,昼,730,3,キャンディ ジュース チョコレート
R1070,東区,男性,10代,火,2024/11/26,12:47,昼,750,3,サンドイッチ カップ麺 お茶
R1071,北区,女性,50代,火,2024/10/15,14:40,昼,1080,4,ヨーグルト サンドイッチ 牛乳 シャンプー
R1072,中央区,女性,40代,水,2024/02/14,12:42,昼,450,1,サンドイッチ
R1073,東区,男性,40代,木,2024/04/25,14:54,昼,550,2,缶コーヒー サンドイッチ
R1074,北区,女性,60代以上,月,2024/07/22,20:21,夜,1080,4,牛乳 卵 ティッシュ お茶
R1075,西区,女性,50代,水,2024/01/03,08:17,朝,380,2,コーヒー パン
R1076,中央区,男性,10代,日,2024/05/26,08:08,朝,450,2,パン 卵
R1077,東区,男性,40代,木,2024/08/22,13:49,昼,860,4,お茶 おにぎり サラダ 炭酸飲料
R1078,東区,男性,20代,土,2024/01/06,13:41,昼,570,2,サンドイッチ お茶
R1079,中央区,男性,10代,日,2024/03/24,18:58,夜,1080,5,サラダ お茶 肉まん コーヒー 炭酸飲料
R1080,北区,女性,50代,土,2024/05/11,13:23,昼,930,3,アイス 弁当 フルーツ
R1081,西区,女性,20代,月,2024/03/25,11:39,昼,170,1,ジュース
R1082,中央区,男性,60代以上,日,2024/09/22,18:12,夜,1250,4,弁当 卵 アイス キャンディ
R1083,東区,男性,60代以上,金,2024/03/15,08:12,朝,1010,4,牛乳 パン サラダ 栄養ドリンク
R1084,東区,男性,60代以上,日,2024/10/27,18:40,夜,840,3,弁当 カップ麺 アイス
R1085,東区,女性,10代,月,2024/12/16,11:50,昼,1150,4,ティッシュ サンドイッチ 肉まん お茶
R1086,中央区,男性,30代,水,2024/08/28,10:13,朝,260,2,お茶 おにぎり
R1087,北区,女性,20代,金,2024/08/23,20:05,夜,220,2,シャンプー ポテトチップス
R1088,北区,女性,50代,金,2024/11/08,08:31,朝,110,1,シャンプー
R1089,北区,男性,10代,月,2024/05/20,13:57,昼,1020,4,牛乳 ヨーグルト シャンプー ティッシュ
R1090,中央区,女性,10代,火,2024/02/20,19:18,夜,260,2,おにぎり お茶
R1091,中央区,男性,20代,土,2024/04/20,13:02,昼,350,2,チョコレート おにぎり
R1092,東区,男性,40代,木,2024/06/13,14:40,昼,140,1,おにぎり
R1093,西区,女性,40代,水,2024/12/18,11:08,昼,350,1,キャンディ
R1094,中央区,女性,20代,金,2024/10/25,13:52,昼,290,1,サラダ
R1095,東区,女性,50代,金,2024/03/22,17:32,夜,1030,3,ガム キャンディ 炭酸飲料
R1096,中央区,男性,20代,木,2024/05/23,10:16,朝,570,3,卵 おにぎり ヨーグルト
R1097,中央区,女性,20代,火,2024/03/12,13:08,昼,620,3,おにぎり コーヒー 炭酸飲料
R1098,北区,男性,10代,木,2024/07/18,20:33,夜,290,1,サラダ
R1099,西区,男性,30代,金,2024/01/26,12:35,昼,470,2,お茶 キャンディ
R1100,東区,女性,60代以上,金,2024/04/26,13:18,昼,880,4,栄養ドリンク フルーツ ヨーグルト 卵
R1101,西区,女性,40代,木,2024/06/06,06:36,朝,900,3,パン サンドイッチ 卵
R1102,中央区,男性,30代,日,2024/10/27,13:09,昼,1050,5,栄養ドリンク フルーツ ヨーグルト サラダ お茶
R1103,東区,女性,40代,日,2024/09/22,12:14,昼,640,2,肉まん サンドイッチ
R1104,東区,女性,20代,火,2024/06/25,20:27,夜,710,3,おにぎり サンドイッチ お茶
R1105,中央区,女性,10代,月,2024/01/29,17:08,夜,260,2,おにぎり お茶
R1106,西区,男性,50代,土,2024/11/09,13:34,昼,960,2,弁当 サンドイッチ
R1107,北区,男性,40代,金,2024/12/06,08:02,朝,560,2,コーヒー ティッシュ
R1108,西区,男性,20代,金,2024/01/05,07:09,朝,620,2,コーヒー サンドイッチ
R1109,北区,男性,30代,水,2024/07/03,14:34,昼,770,4,ヨーグルト コーヒー ジュース 卵
R1110,中央区,男性,40代,日,2024/12/08,11:01,昼,750,2,サンドイッチ 冷凍食品
R1111,西区,男性,60代以上,月,2024/08/19,08:08,朝,490,2,ヨーグルト 歯ブラシ
R1112,西区,男性,40代,日,2024/01/07,14:18,昼,290,2,ジュース お茶
R1113,北区,男性,30代,火,2024/05/28,11:25,昼,450,2,フルーツ 栄養ドリンク
R1114,西区,男性,10代,金,2024/04/12,11:56,昼,610,3,アイス キャンディ ポテトチップス
R1115,西区,女性,50代,土,2024/08/31,12:44,昼,610,3,ポテトチップス アイス キャンディ
R1116,西区,男性,30代,月,2024/02/19,12:21,昼,410,2,卵 ジュース
R1117,中央区,女性,30代,土,2024/07/27,13:37,昼,550,3,おにぎり サラダ お茶
R1118,中央区,男性,20代,水,2024/08/14,11:03,昼,350,2,カップ麺 ジュース
R1119,西区,女性,40代,木,2024/05/16,06:32,朝,810,3,チョコレート 炭酸飲料 サラダ
R1120,西区,男性,30代,金,2024/11/01,12:05,昼,450,1,サンドイッチ
R1121,西区,女性,50代,木,2024/12/12,13:48,昼,840,4,チョコレート ガム アイス ポテトチップス
R1122,北区,女性,40代,水,2024/08/28,17:06,夜,300,2,肉まん ポテトチップス
R1123,中央区,女性,40代,火,2024/04/16,08:46,朝,450,1,サンドイッチ
R1124,北区,女性,40代,金,2024/03/15,18:36,夜,580,4,洗剤 シャンプー ポテトチップス チョコレート
R1125,西区,女性,20代,火,2024/06/11,13:51,昼,630,2,お茶 弁当
R1126,中央区,男性,30代,金,2024/12/20,13:54,昼,1260,4,サンドイッチ 弁当 カップ麺 お茶
R1127,西区,女性,40代,火,2024/05/28,08:20,朝,180,1,野菜ジュース
R1128,東区,女性,10代,土,2024/05/25,07:33,朝,320,2,おにぎり カップ麺
R1129,中央区,女性,50代,火,2024/07/02,08:18,朝,800,4,野菜ジュース パン コーヒー 卵
R1130,中央区,男性,10代,火,2024/06/18,11:12,昼,580,3,ポテトチップス お茶 キャンディ
R1131,中央区,女性,50代,土,2024/04/27,13:30,昼,770,3,野菜ジュース キャンディ 卵
R1132,東区,女性,20代,日,2024/11/24,08:41,朝,1070,5,ジュース パン おにぎり 卵 炭酸飲料
R1133,東区,女性,20代,火,2024/12/03,10:25,朝,310,2,コーヒー おにぎり
R1134,中央区,女性,20代,水,2024/07/10,11:34,昼,290,1,サラダ
R1135,東区,男性,60代以上,木,2024/04/25,13:44,昼,560,3,フルーツ お茶 コーヒー
R1136,西区,男性,20代,日,2024/11/10,13:49,昼,140,1,おにぎり
R1137,中央区,女性,40代,月,2024/03/11,20:34,夜,670,4,カップ麺 チョコレート ポテトチップス コーヒー
R1138,東区,女性,30代,土,2024/10/12,21:13,夜,690,4,冷凍食品 缶コーヒー カップ麺 ポテトチップス
R1139,中央区,女性,60代以上,水,2024/10/30,14:04,昼,1310,4,弁当 カップ麺 サンドイッチ コーヒー
